time,od,treat
0.0 ,0.0500 ,0
1.0 ,0.0665 ,0
2.0 ,0.0958 ,0
3.0 ,0.1540 ,0
4.0 ,0.2206 ,0
5.0 ,0.3701 ,0
6.0 ,0.5280 ,0
7.0 ,0.6610 ,0
8.0 ,0.7524 ,0
9.0 ,0.8190 ,0
12.0 ,0.9357 ,0
18.0 ,0.9118 ,0
24.0 ,0.8796 ,0
0.0 ,0.0500 ,6.25
1.0 ,0.0582 ,6.25
2.0 ,0.0750 ,6.25
3.0 ,0.0710 ,6.25
4.0 ,0.0878 ,6.25
5.0 ,0.0714 ,6.25
6.0 ,0.1089 ,6.25
7.0 ,0.1589 ,6.25
8.0 ,0.2503 ,6.25
9.0 ,0.3376 ,6.25
12.0 ,0.5830 ,6.25
18.0 ,0.8952 ,6.25
24.0 ,0.8506 ,6.25
