time,od,treat
0 ,0.050 ,0
1 ,0.084 ,0
2 ,0.156 ,0
3 ,0.346 ,0
4 ,0.570 ,0
5 ,0.775 ,0
6 ,0.928 ,0
7 ,1.048 ,0
8 ,1.126 ,0
0 ,0.050 ,5
1 ,0.082 ,5
2 ,0.152 ,5
3 ,0.328 ,5 
4 ,0.554 ,5
5 ,0.770 ,5
6 ,0.920 ,5
7 ,1.044 ,5
8 ,1.126 ,5
0 ,0.050 ,7
1 ,0.072 ,7
2 ,0.084 ,7
3 ,0.148 ,7
4 ,0.287 ,7
5 ,0.503 ,7
6 ,0.686 ,7
7 ,0.861 ,7
8 ,0.994 ,7
0 ,0.050 ,10
1 ,0.074 ,10
2 ,0.076 ,10
3 ,0.082 ,10
4 ,0.112 ,10
5 ,0.186 ,10
6 ,0.348 ,10
7 ,0.590 ,10
8 ,0.783 ,10
